gE/AAgAw/zkT,AA Bezirk,Organisations-einheit / Empfänger,Anschrift,PLZ,PLZ,Ort
Regionaldirektion Berlin-Brandenburg ,,,Friedrichstr. 34,,10969,Berlin
Jobcenter Berlin Friedrichshain-Kreuzberg,Berlin Mitte,,Rudi-Dutschke-Str. 3,10969,10969,Berlin
Jobcenter Berlin Mitte,Berlin Mitte,,Sickingenstr. 70/71,10553,10553,Berlin
Jobcenter Charlottenburg-Wilmersdorf,Berlin Nord,,Bundesallee 206,10717,10719,Berlin
Jobcenter Pankow,Berlin Nord,,Storkower Str. 133,10407,10407,Berlin
Jobcenter Reinickendorf,Berlin Nord,,Miraustr. 54,13509,13509,Berlin
Jobcenter Spandau,Berlin Nord,,Brunsbütteler Damm 75-77,13581,13581,Berlin
Jobcenter Berlin Lichtenberg,Berlin Mitte,,Gotlindestr. 93,10365,10365,Berlin
Jobcenter Berlin-Marzahn-Hellersdorf,Berlin Mitte,,Allee der Kosmonauten 29,12681,12681,Berlin
Jobcenter Neukölln,Berlin Süd,,Mainzer Str. 27,12055,12053,Berlin
Jobcenter Treptow-Köpenick,Berlin Süd,,Groß-Berliner-Damm 73 a-e,12489,12487,Berlin
Jobcenter Steglitz-Zehlendorf,Berlin Süd,,Birkbuschstr. 10,12167,12167,Berlin
Jobcenter Berlin Tempelhof-Schöneberg,Berlin Süd,,Wolframstr. 89-92,12105,12105,Berlin
Jobcenter Cottbus,Cottbus,,Bahnhofstr. 10,3046,3046,Cottbus
Jobcenter Elbe-Elster,Cottbus,,Lugstr. 4,4916,4916,Herzberg
Jobcenter Oberspreewald-Lausitz,Cottbus,,Adolfstr. 1-3,1968,1968,Senftenberg
Jobcenter Landkreis Dahme-Spreewald,Cottbus,,Max-Werner-Str. 5,15711,15711,Königs Wusterhausen
Job-Center Barnim,Eberswalde,,Schicklerstr. 14-20,16225,16225,Eberswalde
Jobcenter Frankfurt/Oder,Frankfurt/Oder,,Robert-Havemann-Str. 6,15236,15236,Frankfurt/Oder
Jobcenter Märkisch-Oderland,Frankfurt/Oder,,Fichtenweg 4,15306,15306,Seelow
Jobcenter Havelland,Neuruppin,,Waldemardamm 3,14641,14641,Nauen
Jobcenter,Neuruppin,,Adolf- Dechert- Str. 1,16515,16515,Oranienburg
Jobcenter,Neuruppin,,Rheinsberger Str. 18,16909,16909,Wittstock
Jobcenter Prignitz,Neuruppin,,Berliner Weg 8,19348,19348,Perleberg
Jobcenter Brandenburg an der Havel,Potsdam,,Kirchhofstr. 39-42,14776,14776,Brandenburg a.d. Havel
Jobcenter Potsdam,Potsdam,,Horstweg 102-108,14473,14478,Potsdam
Jobcenter Mittelmark,Potsdam,,Brücker Landstr. 1a,14802,14806,Bad Belzig
Jobcenter Landkreis Teltow-Fläming ,Potsdam,,Bahnhofstr. 16,15806,15806,Zossen